Sale_Id,Category,Price,Quantity,Sales,Discount_%,Net_Sales,Date,Country,City,Store_Type,Gender,Rating
SL-00001,Arabic coffee,6.11,95,580.45,10,522.4,2020-12-22,UAE,Abu Dhabi,Hypermarket,Male,1.4
SL-00002,Laban,4.69,4,18.76,0,18.76,2022-03-25,UAE,Abu Dhabi,Hypermarket,Female,1.1
SL-00003,Arabic coffee,11.5,70,805.0,15,684.25,2020-01-27,UAE,Abu Dhabi,Online,Female,4.2
SL-00004,Arabic tea,6.03,90,542.7,15,461.29,2023-10-10,UAE,Sharjah,Convenience Store,Male,4.8
SL-00005,Camel milk,9.11,13,118.43,10,106.59,2025-02-24,UAE,Umm Al Quwain,Convenience Store,Female,4.2
SL-00006,Laban,3.5,49,171.5,0,171.5,2024-01-21,UAE,Ras Al Khaimah,Convenience Store,Female,3.5
SL-00007,Laban,3.77,9,33.93,0,33.93,2022-08-11,UAE,Fujairah,Hypermarket,Female,4.9
SL-00008,Arabic tea,2.51,36,90.36,15,76.81,2022-12-29,UAE,Fujairah,Convenience Store,Male,2.4
SL-00009,Arabic coffee,14.37,83,1192.71,0,1192.71,2025-03-08,UAE,Ras Al Khaimah,Hypermarket,Female,2.0
SL-00010,Juice,5.62,82,460.84,25,345.63,2020-08-17,UAE,Ras Al Khaimah,Hypermarket,Female,4.4
SL-00011,Soft drinks,5.29,41,216.89,15,184.36,2023-07-12,UAE,Sharjah,Supermarket,Male,4.8
SL-00012,Soft drinks,4.62,51,235.62,25,176.71,2022-12-12,UAE,Ajman,Hypermarket,Male,2.0
SL-00013,Arabic coffee,10.85,75,813.75,15,691.69,2025-07-14,UAE,Sharjah,Hypermarket,Other,1.6
SL-00014,Camel milk,17.07,15,256.05,5,243.25,2020-09-17,UAE,Fujairah,Hypermarket,Female,2.7
SL-00015,Juice,6.29,60,377.4,20,301.92,2021-04-14,UAE,Sharjah,Cafe,Female,1.0
SL-00016,Arabic coffee,13.85,97,1343.45,10,1209.11,2025-02-01,UAE,Umm Al Quwain,Convenience Store,Male,2.7
SL-00017,Camel milk,19.45,93,1808.85,10,1627.97,2023-05-07,UAE,Ras Al Khaimah,Hypermarket,Female,1.4
SL-00018,Arabic tea,5.19,78,404.82,5,384.58,2025-12-12,UAE,Abu Dhabi,Convenience Store,Female,3.2
SL-00019,Camel milk,15.19,63,956.97,0,956.97,2023-06-13,UAE,Dubai,Convenience Store,Female,4.3
SL-00020,Soft drinks,2.23,73,162.79,0,162.79,2025-12-21,UAE,Dubai,Online,Female,4.9
SL-00021,Arabic tea,2.63,85,223.55,15,190.02,2024-09-29,UAE,Ras Al Khaimah,Hypermarket,Male,4.5
SL-00022,Soft drinks,5.72,97,554.84,25,416.13,2024-03-09,UAE,Fujairah,Hypermarket,Female,2.6
SL-00023,Juice,9.4,58,545.2,0,545.2,2022-07-31,UAE,Abu Dhabi,Hypermarket,Male,1.1
SL-00024,Laban,3.88,10,38.8,25,29.1,2023-09-15,UAE,Fujairah,Supermarket,Male,4.6
SL-00025,Camel milk,14.17,36,510.12,25,382.59,2025-04-20,UAE,Ajman,Hypermarket,Female,3.9
SL-00026,Soft drinks,5.14,53,272.42,5,258.8,2024-08-10,UAE,Dubai,Supermarket,Female,2.4
SL-00027,Juice,9.18,7,64.26,25,48.19,2021-03-23,UAE,Fujairah,Supermarket,Male,3.9
SL-00028,Soft drinks,2.77,69,191.13,15,162.46,2020-11-04,UAE,Abu Dhabi,Online,Male,2.9
SL-00029,Juice,8.85,71,628.35,0,628.35,2022-08-26,UAE,Dubai,Cafe,Female,4.9
SL-00030,Soft drinks,3.63,62,225.06,5,213.81,2020-01-09,UAE,Umm Al Quwain,Online,Female,1.7
SL-00031,Juice,5.59,59,329.81,10,296.83,2022-02-16,UAE,Ajman,Cafe,Female,2.9
SL-00032,Masala chai,4.09,8,32.72,20,26.18,2020-07-24,UAE,Fujairah,Cafe,Male,2.3
SL-00033,Laban,4.91,68,333.88,5,317.19,2020-10-05,UAE,Dubai,Cafe,Male,1.7
SL-00034,Arabic coffee,13.62,52,708.24,0,708.24,2020-12-01,UAE,Ras Al Khaimah,Hypermarket,Female,1.2
SL-00035,Juice,7.94,73,579.62,20,463.7,2022-09-04,UAE,Sharjah,Convenience Store,Male,3.9
SL-00036,Masala chai,4.98,86,428.28,25,321.21,2020-10-24,UAE,Sharjah,Online,Male,4.0
SL-00037,Camel milk,13.5,73,985.5,0,985.5,2023-11-30,UAE,Dubai,Cafe,Male,2.1
SL-00038,Camel milk,18.55,48,890.4,10,801.36,2025-12-06,UAE,Abu Dhabi,Online,Female,3.8
SL-00039,Camel milk,16.01,71,1136.71,10,1023.04,2021-04-17,UAE,Fujairah,Supermarket,Female,1.5
SL-00040,Camel milk,16.91,20,338.2,10,304.38,2022-12-17,UAE,Sharjah,Cafe,Male,2.4
SL-00041,Laban,4.95,7,34.65,0,34.65,2023-09-28,UAE,Fujairah,Online,Female,1.2
SL-00042,Arabic tea,2.65,34,90.1,5,85.6,2020-02-09,UAE,Fujairah,Online,Female,2.7
SL-00043,Camel milk,8.9,89,792.1,5,752.5,2021-08-29,UAE,Ras Al Khaimah,Supermarket,Female,3.3
SL-00044,Juice,4.76,40,190.4,10,171.36,2022-10-19,UAE,Umm Al Quwain,Supermarket,Female,1.8
SL-00045,Arabic coffee,6.03,100,603.0,20,482.4,2022-08-27,UAE,Umm Al Quwain,Online,Female,4.0
